customer_id,region,gender,age,join_date,last_purchase,fav_category,recency_days,frequency,monetary_ghs,avg_order_value,cluster,segment
CUST000004,Western,F,62,2021-06-05,2024-07-08,Stationery,177,4,1095.21,273.8,0,At Risk
CUST000005,Greater Accra,F,56,2022-06-27,2024-08-26,Clothing,128,3,1087.67,362.56,0,At Risk
CUST000009,Western,M,58,2021-02-20,2024-07-23,Food & Grocery,162,1,3129.85,3129.85,0,At Risk
CUST000020,Greater Accra,M,49,2022-11-27,2024-10-19,Health & Beauty,74,11,273.16,24.83,0,At Risk
CUST000025,Ashanti,M,37,2023-04-24,2024-06-09,Electronics,206,1,1116.33,1116.33,0,At Risk
CUST000029,Western,F,28,2020-09-03,2024-06-04,Stationery,211,4,1365.83,341.46,0,At Risk
CUST000041,Greater Accra,F,36,2020-12-10,2024-04-24,Stationery,252,1,1343.88,1343.88,0,At Risk
CUST000043,Greater Accra,F,56,2023-07-08,2024-09-18,Food & Grocery,105,2,201.96,100.98,0,At Risk
CUST000045,Greater Accra,F,47,2020-12-28,2024-09-07,Home & Kitchen,116,2,1855.18,927.59,0,At Risk
CUST000047,Ashanti,M,62,2021-08-11,2024-01-16,Home & Kitchen,351,1,561.92,561.92,0,At Risk
CUST000049,Ashanti,F,55,2022-08-19,2024-08-25,Electronics,129,3,607.05,202.35,0,At Risk
CUST000051,Volta,M,27,2021-12-21,2024-04-10,Home & Kitchen,266,2,2197.37,1098.68,0,At Risk
CUST000055,Western,M,30,2022-10-27,2024-08-26,Home & Kitchen,128,2,115.29,57.64,0,At Risk
CUST000057,Greater Accra,F,58,2020-06-29,2024-08-28,Clothing,126,4,796.5,199.12,0,At Risk
CUST000058,Greater Accra,F,51,2023-01-23,2024-07-10,Electronics,175,2,169.03,84.52,0,At Risk
CUST000063,Central,F,32,2023-07-08,2024-09-02,Health & Beauty,121,2,1013.43,506.72,0,At Risk
CUST000066,Ashanti,M,39,2021-08-10,2024-04-24,Clothing,252,4,1284.25,321.06,0,At Risk
CUST000070,Volta,M,39,2021-12-02,2024-05-12,Food & Grocery,234,2,1060.54,530.27,0,At Risk
CUST000072,Greater Accra,M,25,2023-11-25,2024-05-17,Food & Grocery,229,1,1519.35,1519.35,0,At Risk
CUST000073,Greater Accra,M,51,2022-12-03,2024-11-02,Stationery,60,4,1216.16,304.04,0,At Risk
CUST000074,Eastern,M,21,2023-03-15,2024-05-21,Clothing,225,1,1905.85,1905.85,0,At Risk
CUST000078,Greater Accra,M,51,2020-09-03,2024-08-04,Clothing,150,4,1779.87,444.97,0,At Risk
CUST000083,Ashanti,M,61,2023-01-04,2024-06-19,Stationery,196,1,1707.72,1707.72,0,At Risk
CUST000088,Western,M,36,2023-07-28,2024-05-28,Stationery,218,2,940.88,470.44,0,At Risk
CUST000089,Central,F,36,2022-05-30,2024-07-17,Stationery,168,1,1878.18,1878.18,0,At Risk
CUST000091,Greater Accra,M,51,2022-06-05,2024-03-01,Home & Kitchen,306,1,503.44,503.44,0,At Risk
CUST000093,Eastern,F,21,2023-04-26,2024-09-02,Home & Kitchen,121,4,271.73,67.93,0,At Risk
CUST000094,Western,M,48,2021-07-06,2024-04-15,Home & Kitchen,261,1,740.85,740.85,0,At Risk
CUST000103,Ashanti,F,23,2022-04-13,2024-07-06,Health & Beauty,179,1,874.42,874.42,0,At Risk
CUST000106,Greater Accra,M,41,2022-02-25,2024-02-18,Food & Grocery,318,2,595.72,297.86,0,At Risk
CUST000109,Greater Accra,F,26,2022-12-28,2024-05-15,Electronics,231,3,1427.32,475.77,0,At Risk
CUST000110,Greater Accra,M,54,2022-10-16,2024-06-11,Health & Beauty,204,4,923.77,230.94,0,At Risk
CUST000111,Greater Accra,F,51,2020-05-21,2024-06-16,Clothing,199,2,1083.68,541.84,0,At Risk
CUST000115,Western,F,54,2020-04-11,2024-04-10,Food & Grocery,266,1,1812.13,1812.13,0,At Risk
CUST000117,Eastern,M,28,2022-04-22,2024-11-12,Electronics,50,9,198.79,22.09,0,At Risk
