customer_id,region,gender,age,join_date,last_purchase,fav_category,recency_days,frequency,monetary_ghs,avg_order_value,cluster,segment
CUST000001,Ashanti,M,36,2021-05-19,2024-12-23,Health & Beauty,9,37,10138.59,274.02,2,Champions
CUST000007,Greater Accra,M,41,2023-02-16,2024-12-19,Food & Grocery,13,40,5142.77,128.57,2,Champions
CUST000016,Greater Accra,M,19,2020-10-18,2024-12-23,Food & Grocery,9,28,7884.99,281.61,2,Champions
CUST000019,Ashanti,M,51,2020-06-30,2024-12-13,Health & Beauty,19,37,15422.14,416.81,2,Champions
CUST000027,Greater Accra,F,62,2023-01-07,2024-12-30,Clothing,2,41,7790.87,190.02,2,Champions
CUST000036,Eastern,F,44,2020-04-26,2024-12-18,Home & Kitchen,14,48,9015.06,187.81,2,Champions
CUST000053,Northern,M,30,2023-10-16,2024-12-03,Clothing,29,44,9015.14,204.89,2,Champions
CUST000118,Greater Accra,M,31,2022-12-07,2024-12-03,Health & Beauty,29,42,5450.7,129.78,2,Champions
CUST000127,Eastern,F,40,2021-08-07,2024-12-20,Food & Grocery,12,31,10035.47,323.72,2,Champions
CUST000141,Volta,M,48,2021-07-08,2024-12-25,Health & Beauty,7,33,8223.25,249.19,2,Champions
CUST000166,Central,F,57,2023-02-11,2024-12-16,Home & Kitchen,16,42,5328.27,126.86,2,Champions
CUST000171,Western,F,26,2020-02-19,2024-12-09,Food & Grocery,23,33,7374.76,223.48,2,Champions
CUST000174,Greater Accra,F,50,2021-05-20,2024-12-24,Electronics,8,31,5609.33,180.95,2,Champions
CUST000178,Ashanti,F,35,2022-02-06,2024-12-08,Home & Kitchen,24,30,9011.89,300.4,2,Champions
CUST000185,Greater Accra,M,33,2022-09-30,2024-12-25,Health & Beauty,7,45,3894.39,86.54,2,Champions
CUST000194,Western,M,24,2022-05-28,2024-12-24,Stationery,8,26,6767.13,260.27,2,Champions
CUST000199,Central,F,28,2020-06-01,2024-12-05,Home & Kitchen,27,45,9256.45,205.7,2,Champions
CUST000201,Western,M,50,2023-05-15,2024-12-29,Health & Beauty,3,40,9362.07,234.05,2,Champions
CUST000206,Greater Accra,M,28,2020-02-02,2024-12-19,Clothing,13,26,7409.01,284.96,2,Champions
CUST000209,Greater Accra,F,20,2022-12-22,2024-12-12,Food & Grocery,20,32,10716.48,334.89,2,Champions
CUST000211,Ashanti,F,55,2023-07-01,2024-12-11,Clothing,21,32,8490.49,265.33,2,Champions
CUST000229,Central,F,21,2020-01-24,2024-12-12,Food & Grocery,20,24,5518.46,229.94,2,Champions
CUST000241,Northern,F,25,2021-11-29,2024-12-03,Home & Kitchen,29,45,4006.68,89.04,2,Champions
CUST000248,Volta,F,39,2020-12-22,2024-12-15,Clothing,17,38,3742.72,98.49,2,Champions
CUST000257,Northern,M,24,2022-02-04,2024-12-27,Health & Beauty,5,28,10730.11,383.22,2,Champions
CUST000260,Greater Accra,M,41,2022-11-30,2024-12-12,Health & Beauty,20,35,11635.56,332.44,2,Champions
CUST000262,Volta,M,47,2020-11-08,2024-12-30,Home & Kitchen,2,36,7516.59,208.79,2,Champions
CUST000297,Eastern,F,21,2021-05-30,2024-12-28,Health & Beauty,4,45,2937.72,65.28,2,Champions
CUST000301,Greater Accra,M,26,2022-11-10,2024-12-10,Food & Grocery,22,47,7082.48,150.69,2,Champions
CUST000310,Greater Accra,M,47,2020-03-21,2024-12-30,Health & Beauty,2,39,9636.37,247.09,2,Champions
CUST000317,Ashanti,F,44,2020-12-26,2024-12-06,Food & Grocery,26,38,15520.68,408.44,2,Champions
CUST000321,Ashanti,F,26,2023-02-13,2024-12-26,Clothing,6,35,11240.4,321.15,2,Champions
CUST000327,Western,F,23,2022-08-01,2024-12-30,Food & Grocery,2,33,4642.13,140.67,2,Champions
CUST000338,Eastern,F,18,2020-04-28,2024-12-23,Food & Grocery,9,23,5013.56,217.98,2,Champions
CUST000341,Ashanti,M,27,2022-09-15,2024-12-17,Electronics,15,36,8671.81,240.88,2,Champions
CUST000359,Northern,F,25,2022-09-07,2024-12-03,Home & Kitchen,29,27,4024.19,149.04,2,Champions
