customer_id,region,gender,age,join_date,last_purchase,fav_category,recency_days,frequency,monetary_ghs,avg_order_value,cluster,segment
CUST000013,Central,F,57,2022-04-05,2023-12-15,Food & Grocery,383,2,262.95,131.48,1,Lost / Inactive
CUST000015,Greater Accra,F,44,2022-11-30,2023-04-01,Stationery,641,1,580.25,580.25,1,Lost / Inactive
CUST000017,Ashanti,M,40,2021-08-28,2023-09-30,Electronics,459,1,47.05,47.05,1,Lost / Inactive
CUST000021,Western,F,20,2022-05-02,2024-01-10,Clothing,357,1,112.48,112.48,1,Lost / Inactive
CUST000022,Greater Accra,M,44,2023-01-31,2023-02-07,Food & Grocery,694,1,231.06,231.06,1,Lost / Inactive
CUST000023,Greater Accra,M,29,2023-09-12,2023-05-20,Clothing,592,1,562.23,562.23,1,Lost / Inactive
CUST000024,Ashanti,F,25,2020-03-09,2023-08-29,Stationery,491,1,301.02,301.02,1,Lost / Inactive
CUST000026,Eastern,F,34,2022-09-21,2023-03-14,Health & Beauty,659,1,415.31,415.31,1,Lost / Inactive
CUST000030,Greater Accra,F,26,2021-09-18,2023-02-28,Health & Beauty,673,1,196.04,196.04,1,Lost / Inactive
CUST000031,Western,M,51,2020-01-12,2023-04-28,Clothing,614,1,404.7,404.7,1,Lost / Inactive
CUST000032,Greater Accra,F,61,2022-02-06,2023-07-01,Food & Grocery,550,1,374.12,374.12,1,Lost / Inactive
CUST000033,Greater Accra,F,60,2020-04-30,2023-06-26,Electronics,555,2,87.78,43.89,1,Lost / Inactive
CUST000035,Volta,M,33,2021-11-06,2023-08-17,Health & Beauty,503,1,451.61,451.61,1,Lost / Inactive
CUST000038,Greater Accra,M,41,2020-01-09,2023-03-15,Electronics,658,1,252.42,252.42,1,Lost / Inactive
CUST000040,Ashanti,M,57,2021-03-09,2023-02-05,Food & Grocery,696,1,325.3,325.3,1,Lost / Inactive
CUST000042,Ashanti,F,40,2020-02-19,2024-01-24,Electronics,343,2,76.75,38.38,1,Lost / Inactive
CUST000048,Ashanti,F,20,2023-06-03,2023-08-28,Stationery,492,1,561.03,561.03,1,Lost / Inactive
CUST000056,Northern,F,42,2022-08-14,2023-02-20,Health & Beauty,681,2,526.51,263.26,1,Lost / Inactive
CUST000059,Greater Accra,F,57,2020-10-17,2023-07-20,Clothing,531,1,235.49,235.49,1,Lost / Inactive
CUST000060,Ashanti,F,57,2022-11-10,2023-07-11,Food & Grocery,540,2,47.68,23.84,1,Lost / Inactive
CUST000061,Ashanti,F,57,2020-07-06,2024-03-07,Home & Kitchen,300,1,238.11,238.11,1,Lost / Inactive
CUST000064,Ashanti,F,20,2021-01-21,2023-02-25,Stationery,676,2,216.2,108.1,1,Lost / Inactive
CUST000065,Greater Accra,M,63,2021-11-29,2023-03-23,Clothing,650,1,110.72,110.72,1,Lost / Inactive
CUST000068,Eastern,M,22,2021-06-05,2023-05-08,Food & Grocery,604,2,560.01,280.0,1,Lost / Inactive
CUST000069,Greater Accra,M,58,2020-06-26,2023-12-05,Electronics,393,1,462.78,462.78,1,Lost / Inactive
CUST000071,Eastern,M,46,2023-04-25,2024-03-31,Home & Kitchen,276,1,36.04,36.04,1,Lost / Inactive
CUST000080,Greater Accra,F,23,2020-03-25,2023-07-08,Electronics,543,2,364.24,182.12,1,Lost / Inactive
CUST000081,Central,F,51,2021-05-06,2023-12-05,Stationery,393,1,313.72,313.72,1,Lost / Inactive
CUST000082,Western,F,38,2020-02-27,2023-06-01,Food & Grocery,580,1,541.3,541.3,1,Lost / Inactive
CUST000084,Greater Accra,M,47,2020-05-08,2023-05-30,Stationery,582,2,517.05,258.52,1,Lost / Inactive
