customer_id,region,gender,age,join_date,last_purchase,fav_category,recency_days,frequency,monetary_ghs,avg_order_value,cluster,segment
CUST000002,Northern,F,49,2023-01-12,2024-11-17,Home & Kitchen,45,13,3440.84,264.68,3,Loyal Customers
CUST000003,Eastern,F,39,2020-07-01,2024-10-13,Home & Kitchen,80,13,8014.63,616.51,3,Loyal Customers
CUST000006,Greater Accra,F,35,2022-02-08,2024-11-01,Food & Grocery,61,13,5204.0,400.31,3,Loyal Customers
CUST000008,Central,M,18,2023-07-08,2024-11-22,Clothing,40,9,4379.85,486.65,3,Loyal Customers
CUST000010,Eastern,F,19,2022-08-18,2024-11-14,Home & Kitchen,48,14,2464.58,176.04,3,Loyal Customers
CUST000011,Greater Accra,M,57,2020-09-04,2024-12-31,Electronics,1,23,2913.5,126.67,3,Loyal Customers
CUST000012,Volta,F,41,2023-09-02,2024-12-19,Food & Grocery,13,21,11388.9,542.33,3,Loyal Customers
CUST000014,Greater Accra,M,19,2023-07-15,2024-10-11,Stationery,82,12,3499.4,291.62,3,Loyal Customers
CUST000018,Ashanti,F,50,2022-12-01,2024-11-17,Clothing,45,12,2304.81,192.07,3,Loyal Customers
CUST000028,Ashanti,M,50,2022-12-07,2024-11-15,Health & Beauty,47,11,1842.89,167.54,3,Loyal Customers
CUST000034,Northern,M,24,2023-09-18,2024-10-06,Health & Beauty,87,4,3450.82,862.7,3,Loyal Customers
CUST000037,Ashanti,F,32,2022-09-27,2024-10-08,Food & Grocery,85,13,3119.0,239.92,3,Loyal Customers
CUST000039,Western,F,54,2023-01-04,2024-11-14,Health & Beauty,48,14,2799.98,200.0,3,Loyal Customers
CUST000044,Northern,F,48,2021-06-10,2024-12-28,Electronics,4,12,3754.86,312.91,3,Loyal Customers
CUST000046,Western,F,24,2022-07-02,2024-10-08,Home & Kitchen,85,9,4136.46,459.61,3,Loyal Customers
CUST000050,Greater Accra,F,47,2020-12-08,2024-10-31,Clothing,62,4,2970.59,742.65,3,Loyal Customers
CUST000052,Eastern,F,51,2023-07-07,2024-11-11,Electronics,51,10,6046.96,604.7,3,Loyal Customers
CUST000054,Central,F,56,2023-11-09,2024-10-22,Health & Beauty,71,5,1779.35,355.87,3,Loyal Customers
CUST000062,Greater Accra,M,51,2023-01-04,2024-12-26,Clothing,6,12,12367.21,1030.6,3,Loyal Customers
CUST000067,Greater Accra,F,51,2021-09-24,2024-10-05,Home & Kitchen,88,14,2470.14,176.44,3,Loyal Customers
CUST000075,Eastern,F,42,2023-06-30,2024-10-04,Stationery,89,5,5144.55,1028.91,3,Loyal Customers
CUST000076,Eastern,F,40,2022-03-27,2024-11-17,Electronics,45,10,2122.44,212.24,3,Loyal Customers
CUST000077,Eastern,F,42,2022-11-21,2024-10-19,Stationery,74,8,2769.78,346.22,3,Loyal Customers
CUST000079,Ashanti,F,61,2022-11-09,2024-10-20,Electronics,73,10,6989.14,698.91,3,Loyal Customers
CUST000085,Ashanti,M,20,2021-11-16,2024-11-28,Home & Kitchen,34,10,4340.83,434.08,3,Loyal Customers
CUST000090,Ashanti,F,63,2020-08-24,2024-12-24,Health & Beauty,8,20,10516.28,525.81,3,Loyal Customers
CUST000098,Ashanti,M,62,2020-08-06,2024-10-20,Stationery,73,9,4844.72,538.3,3,Loyal Customers
CUST000101,Greater Accra,F,33,2020-08-18,2024-12-25,Stationery,7,21,7450.23,354.77,3,Loyal Customers
CUST000104,Ashanti,F,35,2020-04-26,2024-10-07,Food & Grocery,86,8,4568.78,571.1,3,Loyal Customers
CUST000105,Northern,M,42,2020-08-02,2024-11-23,Home & Kitchen,39,13,2242.56,172.5,3,Loyal Customers
CUST000107,Ashanti,F,56,2021-02-03,2024-11-23,Stationery,39,9,3400.6,377.84,3,Loyal Customers
CUST000112,Greater Accra,M,51,2022-11-10,2024-10-12,Home & Kitchen,81,7,5795.89,827.98,3,Loyal Customers
CUST000114,Eastern,F,57,2020-06-28,2024-10-23,Health & Beauty,70,11,2734.85,248.62,3,Loyal Customers
CUST000123,Ashanti,F,42,2023-11-08,2024-10-17,Health & Beauty,76,4,4171.95,1042.99,3,Loyal Customers
CUST000124,Greater Accra,F,27,2022-03-20,2024-11-13,Home & Kitchen,49,4,3311.73,827.93,3,Loyal Customers
CUST000125,Greater Accra,M,28,2021-10-06,2024-10-07,Food & Grocery,86,7,1954.39,279.2,3,Loyal Customers
CUST000130,Ashanti,F,36,2020-02-11,2024-12-31,Food & Grocery,1,21,5429.31,258.54,3,Loyal Customers
CUST000138,Eastern,F,24,2021-12-25,2024-11-02,Electronics,60,5,3790.66,758.13,3,Loyal Customers
